Last,Style,Name,Leather,Color,Outsole,Welt
Hampton,Perforated Straight Tip Blucher,,Shell Cordovan,Black,Double Leather,270 Flat Welt
Plaza,Straight Tip Blucher,,Shell Cordovan,Black,Commando,270 Flat Welt
Snap,Straight Tip Blucher,Straight Tip Blucher,Suede,Mocha,Double Leather,270 Flat Welt
Grant,Long Wing Blucher,Black Fleece,Shell Cordovan,Black,Double Leather,270 Flat Welt
Grant,Long Wing Blucher,,Scotch Grain,Black,Double Leather,360 Pre-Stitched Reverse
Modified,Monk Strap,,Calfskin,Black,Single Leather,(no data)
Barrie,Plain Toe Blucher,,Alpine Grain,Brown,(no data),(no data)
Barrie,Mocc Toe Blucher,,Shell Cordovan,Black,Heavy Single Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Front Blucher,,Shell Cordovan,Whiskey,Double Leather,270 Flat Welt
Barrie,Mocc Toe Blucher,Olmsted,Suede,Snuff,Double Leather,360 Pre-Stitched Reverse
Barrie,Mocc Toe Blucher,,Suede,Milkshake,Double Leather,360 Pre-Stitched Reverse
Barrie,Mocc Toe Blucher,,Suede,Navy,Red Brick,360 Pre-Stitched Reverse
Barrie,Mocc Toe Blucher,,Chromexcel,Natural,Double Leather,360 Pre-Stitched Reverse
(no data),Mocc Oxford,,Bison,Dark Brown,Rubber,(no data)
Barrie,Norwegian Front Blucher,,Chromexcel,Natural,Plantation Crepe,360 Pre-Stitched Reverse
Barrie,Norwegian Front Blucher,,Kudu,Brown,Plantation Crepe,360 Storm Welt
Barrie,Norwegian Front Blucher,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Barrie,Norwegian Front Blucher,,Shell Cordovan,Color 8,Commando,360 Pre-Stitched Reverse
Barrie,Norwegian Front Blucher,,Shell Cordovan,Black,Double Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Front Blucher,,Chromexcel,Brown,Double Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Front Blucher,,Chromexcel,Natural,Double Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Front Blucher,,Calfskin,Brown,Commando,360 Flat Welt
Barrie,Norwegian Front Blucher,Bregenz,Alpine Grain,Brown,Commando,360 Storm Welt
