Last,Style,Name,Leather,Color,Outsole,Welt
Aberdeen,Tassel,Tassel Mocc,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Calfskin,Burnished Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Kid Suede,Mocha,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Brown,(no data),(no data)
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Van,LHS / Penny,,Chromexcel,Navy,Single Leather,360 Flat Welt
(no data),LHS / Penny,,(no data),Tan,(no data),(no data)
Van,LHS / Penny,,Calfskin,Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Aberdeen,Other,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,,Chromexcel,Navy,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Grant,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Cigar,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Regina Grain,Dark Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Scotch Grain,Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Alpine Grain,Tan,Single Leather,360 Flat Welt
Van,LHS / Penny,,Calfskin,Black,Single Leather,360 Flat Welt
Grant,LHS / Penny,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Brown,Single Leather,270 Flat Welt
Van,LHS / Penny,,Pebble Grain,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Black,Single Leather,360 Flat Welt
Aberdeen,Norwegian Split Toe,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Van,LHS / Penny,,Calfskin,Tan,Single Leather,360 Flat Welt
(no data),LHS / Penny,,Shell Cordovan,Mahogany,Single Leather,270 Flat Welt
Van,LHS / Penny,Leisure Handsewn,Shell Cordovan,Whiskey,Single Leather,360 Flat Welt
Van,LHS / Penny,Leisure Handsewn LHS,Shell Cordovan,Whiskey,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Ravello,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Ravello,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan (Scotch Grain),Color 8,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Mahogany,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Dark Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Kid Suede,White,Red Brick,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,,Suede,Snuff,Red Brick,360 Flat Welt
Van,LHS / Penny,,Calfskin,Dark Brown,Single Leather,360 Flat Welt
Aberdeen,LHS / Penny,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Brown,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Scotch Grain,Brown,Single Leather,360 Flat Welt
Aberdeen,Full Strap,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Whiskey,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Whiskey,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Suede,Navy,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Suede,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Suede,Brown,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Ravello,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Tan,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Burnished Tan,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Alpine Grain,Brown,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Burgundy,Rubber,270 Flat Welt
Aberdeen,Tassel,Full Strap Tassel,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,Full Strap Tassel,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,(no data),270 Flat Welt
Tom,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Calfskin,Brown,Single Leather,270 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Van,LHS / Penny,,Calfskin,Burgundy,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Whiskey,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,,Calfskin,Burgundy,Single Leather,360 Flat Welt
Van,LHS / Penny,,Chromexcel,Brown,Rubber,360 Flat Welt
Van,LHS / Penny,,Calfskin,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Calfskin,Brown,(no data),360 Flat Welt
Van,LHS / Penny,,Scotch Grain,Mahogany,Single Leather,360 Flat Welt
Van,LHS / Penny,,Calfskin,Dark Brown,Single Leather,360 Flat Welt
(no data),LHS / Penny,Alden Offshore,Suede,White,Rubber,(no data)
Copley,LHS / Penny,,Calfskin,Cognac,Single Leather,360 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Black,Single Leather,360 Flat Welt
Aberdeen,LHS / Penny,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Aberdeen,Full Strap,,Alpine Grain,Burnished Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,White,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Brown,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Calfskin,Black,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Brown,Single Leather,270 Flat Welt
Aberdeen,Wing Tip,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Chromexcel,Natural,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Tobacco,Single Leather,270 Flat Welt
Aberdeen,Other,,Patent,Black,Single Leather,270 Flat Welt
Aberdeen,Slip-On,,Patent,Black,Single Leather,270 Flat Welt
Aberdeen,Slip-On,,Patent,Black,Single Leather,270 Flat Welt
Aberdeen,Slip-On,,Suede,Black,Single Leather,270 Flat Welt
Aberdeen,Slip-On,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Slip-On,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Slip-On,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Alpine Grain,Brown,Single Leather,270 Flat Welt
Leydon,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Copley,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Copley,LHS / Penny,,Shell Cordovan,Black,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Suede,(no data),Single Leather,(no data)
Copley,LHS / Penny,,Suede,Milkshake,Single Leather,360 Flat Welt
Copley,LHS / Penny,,Suede,Brown,Single Leather,270 Flat Welt
Copley,LHS / Penny,,Chamois,Tobacco,Single Leather,270 Flat Welt
Copley,LHS / Penny,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Copley,LHS / Penny,,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Copley,LHS / Penny,,Calfskin,Black,Single Leather,270 Flat Welt
Copley,LHS / Penny,,Chromexcel,Natural,Single Leather,270 Flat Welt
